iter	Passed	Remaining
0	56	56760
1	57	28467
2	57	19031
3	57	14312
4	57	11487
5	57	9601
6	58	8253
7	58	7242
8	58	6454
9	58	5824
10	59	5308
11	59	4879
12	59	4517
13	59	4205
14	59	3935
15	60	3699
16	60	3491
17	60	3305
18	60	3143
19	61	2993
20	61	2858
21	61	2734
22	61	2622
23	61	2518
24	62	2423
25	62	2335
26	62	2253
27	62	2178
28	62	2107
29	63	2041
30	63	1980
31	63	1922
32	63	1868
33	63	1817
34	64	1769
35	64	1724
36	64	1681
37	64	1641
38	65	1602
39	65	1566
40	65	1530
41	65	1497
42	65	1465
43	66	1435
44	66	1406
45	66	1379
46	66	1352
47	66	1326
48	67	1302
49	67	1279
50	67	1258
51	67	1236
52	68	1215
53	68	1195
54	68	1175
55	68	1157
56	68	1139
57	69	1121
58	69	1104
59	69	1088
60	69	1072
61	69	1057
62	70	1042
63	70	1027
64	70	1013
65	70	1000
66	70	987
67	70	972
68	71	959
69	71	947
70	71	936
71	71	925
72	71	914
73	72	903
74	72	892
75	72	882
76	72	872
77	73	863
78	73	854
79	73	844
80	73	835
81	73	826
82	74	818
83	74	809
84	74	799
85	74	791
86	74	782
87	74	775
88	74	767
89	75	760
90	75	753
91	75	745
92	75	738
93	75	732
94	76	725
95	76	718
96	76	712
97	76	706
98	76	700
99	77	694
100	77	688
101	77	681
102	77	675
103	77	669
104	77	664
105	78	659
106	78	653
107	78	648
108	78	643
109	78	638
110	79	633
111	79	628
112	79	624
113	79	620
114	79	615
115	80	610
116	80	605
117	80	601
118	80	597
119	80	592
120	81	588
121	81	584
122	81	579
123	81	575
124	81	571
125	81	567
126	82	563
127	82	559
128	82	555
129	82	551
130	82	548
131	82	544
132	83	541
133	83	537
134	83	534
135	83	530
136	83	527
137	83	523
138	84	520
139	84	517
140	84	514
141	84	511
142	84	508
143	85	505
144	85	502
145	85	499
146	85	496
147	85	493
148	85	490
149	86	488
150	86	485
151	86	482
152	86	480
153	87	477
154	87	475
155	87	472
156	87	470
157	87	467
158	87	465
159	88	462
160	88	460
161	88	458
162	88	455
163	88	453
164	89	451
165	89	448
166	89	446
167	89	444
168	89	441
169	90	439
170	90	437
171	90	435
172	90	433
173	90	431
174	91	429
175	91	427
176	91	425
177	91	422
178	91	421
179	92	419
180	92	416
181	92	414
182	92	412
183	92	410
184	92	408
185	93	407
186	93	405
187	93	403
188	93	401
189	93	399
190	93	398
191	94	396
192	94	394
193	94	392
194	94	391
195	94	389
196	95	387
197	95	386
198	95	384
199	95	382
200	95	381
201	96	379
202	96	378
203	96	376
204	96	375
205	96	373
206	97	371
207	97	370
208	97	368
209	97	367
210	97	365
211	98	364
212	98	363
213	98	361
214	98	360
215	98	358
216	99	357
217	99	355
218	99	354
219	99	353
220	99	351
221	100	350
222	100	349
223	100	347
224	100	346
225	100	345
226	100	343
227	101	342
228	101	341
229	101	340
230	101	338
231	101	337
232	102	336
233	102	335
234	102	333
235	102	332
236	102	331
237	103	330
238	103	328
239	103	327
240	103	326
241	103	325
242	104	324
243	104	322
244	104	321
245	104	320
246	104	319
247	104	318
248	105	317
249	105	316
250	105	314
251	105	313
252	105	312
253	106	311
254	106	310
255	106	309
256	106	308
257	106	307
258	107	306
259	107	305
260	107	304
261	107	303
262	107	302
263	108	301
264	108	300
265	108	299
266	108	298
267	108	297
268	108	296
269	109	295
270	109	294
271	109	293
272	109	292
273	109	291
274	110	290
275	110	289
276	110	288
277	110	287
278	110	286
279	111	285
280	111	284
281	111	283
282	111	282
283	111	281
284	112	281
285	112	280
286	112	279
287	112	278
288	112	277
289	112	276
290	113	275
291	113	274
292	113	273
293	113	273
294	113	272
295	114	271
296	114	270
297	114	269
298	114	268
299	114	268
300	115	267
301	115	266
302	115	265
303	115	264
304	115	264
305	116	263
306	116	262
307	116	261
308	116	260
309	116	260
310	117	259
311	117	258
312	117	257
313	117	257
314	117	256
315	118	255
316	118	254
317	118	253
318	118	253
319	118	252
320	118	251
321	119	250
322	119	250
323	119	249
324	119	248
325	119	248
326	120	247
327	120	246
328	120	245
329	120	245
330	120	244
331	121	243
332	121	243
333	121	242
334	121	241
335	121	240
336	122	240
337	122	239
338	122	238
339	122	238
340	122	237
341	123	236
342	123	236
343	123	235
344	123	234
345	123	234
346	124	233
347	124	232
348	124	232
349	124	231
350	124	231
351	125	230
352	125	229
353	125	229
354	125	228
355	125	227
356	126	227
357	126	226
358	126	225
359	126	225
360	126	224
361	127	223
362	127	223
363	127	222
364	127	222
365	127	221
366	128	220
367	128	220
368	128	219
369	128	218
370	128	218
371	128	217
372	129	217
373	129	216
374	129	215
375	129	215
376	129	214
377	130	214
378	130	213
379	130	212
380	130	212
381	130	211
382	131	211
383	131	210
384	131	209
385	131	209
386	131	208
387	132	208
388	132	207
389	132	207
390	132	206
391	132	205
392	132	205
393	133	204
394	133	204
395	133	203
396	133	203
397	133	202
398	134	202
399	134	201
400	134	200
401	134	200
402	134	199
403	135	199
404	135	198
405	135	198
406	135	197
407	135	197
408	136	196
409	136	196
410	136	195
411	136	194
412	136	194
413	136	193
414	137	193
415	137	192
416	137	192
417	137	191
418	137	191
419	138	190
420	138	190
421	138	189
422	138	189
423	138	188
424	139	188
425	139	187
426	139	187
427	139	186
428	139	186
429	140	185
430	140	185
431	140	184
432	140	184
433	140	183
434	141	183
435	141	182
436	141	182
437	141	181
438	141	181
439	142	180
440	142	180
441	142	179
442	142	179
443	142	179
444	143	178
445	143	178
446	143	177
447	143	177
448	144	176
449	144	176
450	144	176
451	144	175
452	145	175
453	145	174
454	145	174
455	145	173
456	145	173
457	146	172
458	146	172
459	146	171
460	146	171
461	146	170
462	146	170
463	147	169
464	147	169
465	147	169
466	147	168
467	147	168
468	148	167
469	148	167
470	148	166
471	148	166
472	148	165
473	149	165
474	149	165
475	149	164
476	149	164
477	149	163
478	150	163
479	150	162
480	150	162
481	150	161
482	150	161
483	150	160
484	151	160
485	151	160
486	151	159
487	151	159
488	151	158
489	152	158
490	152	157
491	152	157
492	152	157
493	152	156
494	153	156
495	153	155
496	153	155
497	153	154
498	153	154
499	154	154
500	154	153
501	154	153
502	154	152
503	154	152
504	155	152
505	155	151
506	155	151
507	155	150
508	155	150
509	156	150
510	156	149
511	156	149
512	156	148
513	156	148
514	157	147
515	157	147
516	157	147
517	157	146
518	157	146
519	158	145
520	158	145
521	158	145
522	158	144
523	158	144
524	158	143
525	159	143
526	159	143
527	159	142
528	159	142
529	159	141
530	160	141
531	160	141
532	160	140
533	160	140
534	160	139
535	161	139
536	161	139
537	161	138
538	161	138
539	161	137
540	162	137
541	162	137
542	162	136
543	162	136
544	162	135
545	162	135
546	163	135
547	163	134
548	163	134
549	163	133
550	163	133
551	164	133
552	164	132
553	164	132
554	164	132
555	164	131
556	165	131
557	165	130
558	165	130
559	165	130
560	165	129
561	165	129
562	166	128
563	166	128
564	166	128
565	166	127
566	166	127
567	167	127
568	167	126
569	167	126
570	167	126
571	167	125
572	168	125
573	168	124
574	168	124
575	168	124
576	168	123
577	169	123
578	169	123
579	169	122
580	169	122
581	169	121
582	170	121
583	170	121
584	170	120
585	170	120
586	170	120
587	171	119
588	171	119
589	171	119
590	171	118
591	171	118
592	171	118
593	172	117
594	172	117
595	172	116
596	172	116
597	172	116
598	173	115
599	173	115
600	173	115
601	173	114
602	173	114
603	174	114
604	174	113
605	174	113
606	174	113
607	174	112
608	174	112
609	175	111
610	175	111
611	175	111
612	175	110
613	175	110
614	176	110
615	176	109
616	176	109
617	176	109
618	176	108
619	177	108
620	177	108
621	177	107
622	177	107
623	177	107
624	178	106
625	178	106
626	178	106
627	178	105
628	178	105
629	179	105
630	179	104
631	179	104
632	179	104
633	179	103
634	179	103
635	180	103
636	180	102
637	180	102
638	180	102
639	180	101
640	181	101
641	181	101
642	181	100
643	181	100
644	181	100
645	182	99
646	182	99
647	182	99
648	182	98
649	182	98
650	183	98
651	183	97
652	183	97
653	183	97
654	183	96
655	184	96
656	184	96
657	184	95
658	184	95
659	184	95
660	185	94
661	185	94
662	185	94
663	185	93
664	185	93
665	186	93
666	186	92
667	186	92
668	186	92
669	186	92
670	187	91
671	187	91
672	187	91
673	187	90
674	187	90
675	188	90
676	188	89
677	188	89
678	188	89
679	188	88
680	188	88
681	189	88
682	189	87
683	189	87
684	189	87
685	190	86
686	190	86
687	190	86
688	190	86
689	190	85
690	190	85
691	191	85
692	191	84
693	191	84
694	191	84
695	191	83
696	192	83
697	192	83
698	192	82
699	192	82
700	192	82
701	193	81
702	193	81
703	193	81
704	193	81
705	193	80
706	193	80
707	194	80
708	194	79
709	194	79
710	194	79
711	194	78
712	195	78
713	195	78
714	195	77
715	195	77
716	195	77
717	196	77
718	196	76
719	196	76
720	196	76
721	196	75
722	197	75
723	197	75
724	197	74
725	197	74
726	197	74
727	198	74
728	198	73
729	198	73
730	198	73
731	198	72
732	198	72
733	199	72
734	199	71
735	199	71
736	199	71
737	200	71
738	200	70
739	201	70
740	201	70
741	201	70
742	201	69
743	201	69
744	202	69
745	202	68
746	202	68
747	202	68
748	202	67
749	202	67
750	203	67
751	203	67
752	203	66
753	203	66
754	203	66
755	204	65
756	204	65
757	204	65
758	204	65
759	204	64
760	205	64
761	205	64
762	205	63
763	205	63
764	205	63
765	206	62
766	206	62
767	206	62
768	206	62
769	206	61
770	207	61
771	207	61
772	207	60
773	207	60
774	207	60
775	208	60
776	208	59
777	208	59
778	208	59
779	208	58
780	209	58
781	209	58
782	209	58
783	209	57
784	209	57
785	210	57
786	210	56
787	210	56
788	210	56
789	210	56
790	211	55
791	211	55
792	211	55
793	211	54
794	211	54
795	212	54
796	212	54
797	212	53
798	212	53
799	212	53
800	212	52
801	213	52
802	213	52
803	213	52
804	213	51
805	213	51
806	214	51
807	214	50
808	214	50
809	214	50
810	214	50
811	215	49
812	215	49
813	215	49
814	215	48
815	215	48
816	216	48
817	216	48
818	216	47
819	216	47
820	216	47
821	217	47
822	217	46
823	217	46
824	217	46
825	217	45
826	218	45
827	218	45
828	218	45
829	218	44
830	218	44
831	218	44
832	219	43
833	219	43
834	219	43
835	219	43
836	219	42
837	220	42
838	220	42
839	220	41
840	220	41
841	220	41
842	221	41
843	221	40
844	221	40
845	221	40
846	221	40
847	222	39
848	222	39
849	222	39
850	222	38
851	222	38
852	222	38
853	223	38
854	223	37
855	223	37
856	223	37
857	223	37
858	224	36
859	224	36
860	224	36
861	224	35
862	224	35
863	225	35
864	225	35
865	225	34
866	225	34
867	225	34
868	225	34
869	226	33
870	226	33
871	226	33
872	226	32
873	226	32
874	227	32
875	227	32
876	227	31
877	227	31
878	227	31
879	228	31
880	228	30
881	228	30
882	228	30
883	228	30
884	229	29
885	229	29
886	229	29
887	229	28
888	229	28
889	230	28
890	230	28
891	230	27
892	230	27
893	230	27
894	231	27
895	231	26
896	231	26
897	231	26
898	231	26
899	231	25
900	232	25
901	232	25
902	232	24
903	232	24
904	232	24
905	233	24
906	233	23
907	233	23
908	233	23
909	233	23
910	234	22
911	234	22
912	234	22
913	234	22
914	234	21
915	235	21
916	235	21
917	235	21
918	235	20
919	235	20
920	236	20
921	236	19
922	236	19
923	236	19
924	236	19
925	237	18
926	237	18
927	237	18
928	237	18
929	237	17
930	237	17
931	238	17
932	238	17
933	238	16
934	238	16
935	238	16
936	239	16
937	239	15
938	239	15
939	239	15
940	239	15
941	239	14
942	240	14
943	240	14
944	240	13
945	240	13
946	240	13
947	241	13
948	241	12
949	241	12
950	241	12
951	241	12
952	242	11
953	242	11
954	242	11
955	242	11
956	242	10
957	243	10
958	243	10
959	243	10
960	243	9
961	243	9
962	243	9
963	244	9
964	244	8
965	244	8
966	244	8
967	244	8
968	245	7
969	245	7
970	245	7
971	245	7
972	245	6
973	246	6
974	246	6
975	246	6
976	246	5
977	246	5
978	247	5
979	247	5
980	247	4
981	247	4
982	247	4
983	247	4
984	248	3
985	248	3
986	248	3
987	248	3
988	248	2
989	249	2
990	249	2
991	249	2
992	249	1
993	249	1
994	250	1
995	250	1
996	250	0
997	250	0
998	250	0
999	251	0
