iter	Passed	Remaining
0	0	276
1	0	260
2	0	241
3	0	233
4	1	225
5	1	220
6	1	217
7	1	216
8	1	214
9	2	214
10	2	212
11	2	212
12	2	210
13	2	209
14	3	208
15	3	207
16	3	206
17	3	205
18	3	203
19	4	203
20	4	202
21	4	203
22	4	203
23	5	204
24	5	203
25	5	203
26	5	202
27	5	201
28	6	200
29	6	200
30	6	200
31	6	200
32	6	199
33	7	199
34	7	198
35	7	198
36	7	198
37	7	198
38	8	198
39	8	198
40	8	198
41	8	197
42	8	197
43	9	196
44	9	196
45	9	196
46	9	195
47	9	195
48	10	195
49	10	195
50	10	195
51	10	194
52	10	196
53	11	196
54	11	195
55	11	195
56	11	194
57	11	194
58	12	193
59	12	193
60	12	193
61	12	193
62	13	193
63	13	193
64	13	193
65	13	193
66	13	193
67	14	193
68	14	192
69	14	192
70	14	192
71	14	191
72	15	191
73	15	191
74	15	190
75	15	190
76	15	190
77	16	190
78	16	189
79	16	189
80	16	188
81	16	188
82	16	186
83	17	186
84	17	186
85	17	185
86	17	185
87	17	185
88	18	185
89	18	184
90	18	184
91	18	184
92	18	183
93	19	183
94	19	183
95	19	182
96	19	182
97	19	182
98	20	182
99	20	182
100	20	182
101	20	181
102	20	181
103	21	181
104	21	181
105	21	180
106	21	180
107	21	180
108	22	180
109	22	180
110	22	179
111	22	179
112	22	179
113	23	178
114	23	178
115	23	178
116	23	177
117	23	177
118	23	177
119	24	178
120	24	178
121	24	177
122	24	177
123	25	177
124	25	177
125	25	177
126	25	176
127	25	176
128	26	176
129	26	176
130	26	176
131	26	176
132	27	176
133	27	175
134	27	175
135	27	175
136	27	175
137	28	175
138	28	174
139	28	174
140	28	174
141	28	173
142	28	173
143	29	172
144	29	172
145	29	172
146	29	172
147	29	171
148	30	171
149	30	171
150	30	171
151	30	171
152	30	170
153	31	170
154	31	170
155	31	170
156	31	170
157	31	169
158	32	169
159	32	169
160	32	168
161	32	168
162	32	168
163	32	167
164	33	167
165	33	167
166	33	167
167	33	166
168	33	166
169	34	166
170	34	166
171	34	166
172	34	166
173	34	165
174	35	165
175	35	165
176	35	165
177	35	164
178	35	164
179	36	164
180	36	164
181	36	164
182	36	163
183	36	163
184	37	163
185	37	163
186	37	163
187	37	162
188	37	162
189	38	162
190	38	162
191	38	161
192	38	161
193	38	161
194	39	161
195	39	161
196	39	161
197	39	161
198	40	161
199	40	161
200	40	161
201	40	160
202	40	160
203	41	160
204	41	160
205	41	159
206	41	159
207	41	159
208	42	159
209	42	158
210	42	158
211	42	158
212	42	158
213	43	158
214	43	157
215	43	157
216	43	157
217	43	157
218	44	157
219	44	156
220	44	156
221	44	156
222	44	156
223	45	155
224	45	155
225	45	155
226	45	155
227	45	155
228	46	154
229	46	154
230	46	154
231	46	154
232	46	154
233	46	153
234	47	153
235	47	153
236	47	153
237	47	152
238	47	152
239	48	152
240	48	152
241	48	152
242	48	151
243	48	151
244	49	151
245	49	151
246	49	150
247	49	150
248	49	150
249	50	150
250	50	150
251	50	149
252	50	149
253	50	149
254	51	149
255	51	149
256	51	149
257	51	149
258	52	149
259	52	149
260	52	149
261	52	148
262	53	148
263	53	148
264	53	148
265	53	147
266	53	147
267	54	147
268	54	147
269	54	147
270	54	146
271	54	146
272	55	146
273	55	146
274	55	146
275	55	146
276	55	145
277	56	145
278	56	145
279	56	145
280	56	145
281	56	144
282	57	144
283	57	144
284	57	144
285	57	144
286	57	143
287	58	143
288	58	143
289	58	143
290	58	143
291	58	142
292	59	142
293	59	142
294	59	142
295	59	142
296	59	141
297	60	141
298	60	141
299	60	141
300	60	141
301	60	140
302	61	140
303	61	140
304	61	140
305	61	140
306	61	139
307	62	139
308	62	139
309	62	139
310	62	138
311	62	138
312	63	138
313	63	138
314	63	138
315	63	137
316	63	137
317	64	137
318	64	137
319	64	137
320	64	136
321	64	136
322	65	136
323	65	136
324	65	135
325	65	135
326	65	135
327	66	135
328	66	135
329	66	134
330	66	134
331	66	134
332	66	134
333	67	133
334	67	133
335	67	133
336	67	133
337	67	133
338	68	132
339	68	132
340	68	132
341	68	132
342	68	132
343	69	131
344	69	131
345	69	131
346	69	131
347	69	131
348	70	130
349	70	130
350	70	130
351	70	130
352	71	130
353	71	129
354	71	129
355	71	129
356	71	129
357	72	129
358	72	128
359	72	128
360	72	128
361	72	128
362	73	128
363	73	127
364	73	127
365	73	127
366	73	127
367	74	127
368	74	126
369	74	126
370	74	126
371	74	126
372	74	126
373	75	125
374	75	125
375	75	125
376	75	125
377	75	125
378	76	124
379	76	124
380	76	124
381	76	124
382	76	123
383	77	123
384	77	123
385	77	123
386	77	123
387	77	122
388	78	122
389	78	122
390	78	122
391	78	122
392	78	121
393	79	121
394	79	121
395	79	121
396	79	121
397	79	120
398	80	120
399	80	120
400	80	120
401	80	120
402	80	119
403	81	119
404	81	119
405	81	119
406	81	119
407	81	118
408	82	118
409	82	118
410	82	118
411	82	117
412	82	117
413	83	117
414	83	117
415	83	117
416	83	116
417	83	116
418	83	116
419	84	116
420	84	116
421	84	115
422	84	115
423	84	115
424	85	115
425	85	114
426	85	114
427	85	114
428	85	114
429	86	114
430	86	114
431	86	113
432	86	113
433	86	113
434	87	113
435	87	112
436	87	112
437	87	112
438	87	112
439	88	112
440	88	111
441	88	111
442	88	111
443	88	111
444	89	111
445	89	110
446	89	110
447	89	110
448	89	110
449	90	110
450	90	109
451	90	109
452	90	109
453	90	109
454	91	109
455	91	108
456	91	108
457	91	108
458	91	108
459	92	108
460	92	107
461	92	107
462	92	107
463	92	107
464	93	107
465	93	106
466	93	106
467	93	106
468	93	106
469	94	106
470	94	105
471	94	105
472	94	105
473	95	105
474	95	105
475	95	105
476	95	104
477	95	104
478	95	104
479	96	104
480	96	103
481	96	103
482	96	103
483	96	103
484	97	103
485	97	103
486	97	102
487	97	102
488	97	102
489	98	102
490	98	101
491	98	101
492	98	101
493	98	101
494	99	101
495	99	100
496	99	100
497	99	100
498	99	100
499	100	100
500	100	99
501	100	99
502	100	99
503	100	99
504	101	99
505	101	98
506	101	98
507	101	98
508	102	98
509	102	98
510	102	98
511	102	97
512	102	97
513	103	97
514	103	97
515	103	97
516	103	96
517	103	96
518	104	96
519	104	96
520	104	95
521	104	95
522	104	95
523	105	95
524	105	95
525	105	94
526	105	94
527	105	94
528	106	94
529	106	94
530	106	93
531	106	93
532	106	93
533	106	93
534	107	93
535	107	92
536	107	92
537	107	92
538	107	92
539	108	92
540	108	91
541	108	91
542	108	91
543	108	91
544	109	91
545	109	90
546	109	90
547	109	90
548	109	90
549	110	90
550	110	89
551	110	89
552	110	89
553	110	89
554	111	89
555	111	88
556	111	88
557	111	88
